"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"CG5989",11.3886,11.8064,13.7902,11.0802,11.492,11.3014,16.9782,17.0707,15.9253,16.8075,17.9621,16.2565,16.8447,17.5596,18.2333,17.7152,16.6102,17.2962,16.7547,15.9952
"CG5991",10.7869,10.4175,9.80646,10.0132,9.16984,9.94975,11.8106,12.5393,11.6641,11.6114,10.8162,12.5435,17.1385,17.9044,19.051,20.545,19.9508,20.8591,12.341,12.4273
"CG6000",33.3641,31.8656,33.1621,31.6439,29.0521,31.0718,38.2772,40.655,44.193,35.5725,35.5578,42.2467,27.2011,24.2762,25.4514,22.5498,22.3238,22.9608,31.3159,27.8959
"CG6005",13.0878,12.6866,13.1643,11.3212,10.8424,11.4346,16.1172,16.7211,17.912,17.7404,17.2914,15.5482,21.6486,24.421,21.7072,24.758,24.0604,25.3143,15.101,13.6588
"CG6006",4.17008,4.06578,4.10361,3.64628,3.48574,3.14837,3.35304,3.69476,3.47346,3.88164,4.66649,3.9636,4.68468,6.09334,6.04365,6.26995,6.41191,6.1512,8.89563,7.49127
"CG6012",2.38103,1.86714,2.31156,2.45225,3.09188,2.76693,3.29192,2.85376,2.80564,3.08502,3.029,3.1964,1.45936,0.521819,0.996923,1.05637,0.809335,1.13358,0.173436,0.268424
"CG6013",20.4207,18.1747,21.1205,17.4126,17.3275,18.4719,22.519,22.2762,23.5982,25.1959,23.4998,25.709,28.3678,26.8368,30.8611,27.3973,31.8901,30.8321,27.3548,23.9177
"CG6015",10.0339,10.2782,11.1627,8.98539,10.2845,9.41979,12.6557,12.2635,13.0436,13.2913,11.9781,13.0361,15.0886,16.0372,14.8355,15.7567,15.9042,15.6721,18.2605,17.7227
"CG6018",21.4568,20.6949,19.7051,19.6632,21.3582,21.5389,30.6165,29.9889,30.9191,32.9105,32.629,32.2407,5.94447,6.52737,6.94916,6.49356,6.5982,6.56474,5.92764,5.80118
"CG6020",144.385,146.769,143.486,131.6,133.966,131.93,197.144,200.325,203.03,205.907,205.307,209.085,265.114,274.169,263.64,266.543,268.056,265.331,220.013,204.779
"CG6023",29.3258,15.5539,44.9321,87.3544,61.2147,65.0492,32.4134,48.2925,37.6249,78.2224,122.76,85.2654,18.8043,15.0261,21.5604,48.0083,42.4941,48.1125,5.81564,11.2422
"CG6024",0.611795,0.587011,0.628241,0.421395,0.850961,0.378261,0.44817,0.267829,0.153815,0.382386,0.396771,0.243258,0.96326,1.02414,0.860171,0.981462,0.4753,1.36511,5.98185,5.96607
"CG6026",0.0506195,0.0272059,0.0260384,0.0670614,0.133198,0.0231865,0.0930532,0.140462,0.0960573,0.115808,0.1738,0.128889,0.17702,0.189336,0.451989,0.392158,0.140106,0.13377,0.0710625,0.0588441
"CG6028",16.2934,16.255,16.2193,17.5138,16.1799,18.8311,21.9129,21.5299,22.3286,29.0296,26.92,26.5971,23.1596,23.8262,22.0028,23.0292,24.3874,25.6559,26.0777,25.3024
"CG6034",0.858477,0.958031,1.20262,1.30588,0.947223,1.18846,1.37996,1.66106,0.850708,1.39035,1.51188,1.36471,2.52424,2.06726,2.41506,3.6496,4.21971,4.05797,0.676577,0.753824
"CG6036",0.234669,0.442716,0.302876,0.672424,0.338598,0.376929,0.723036,1.05833,0.395207,0.0598048,0.0623131,0.180285,3.68663,3.4544,4.91172,0.116248,0,0.119016,0.226094,0.299237
"CG6040",8.10753,8.29386,8.87412,7.21911,7.19739,7.24986,14.0765,14.1007,14.4174,14.7749,15.586,15.2807,19.4728,20.3612,20.8412,21.8938,22.4651,22.5373,11.7903,9.25722
"CG6044",42.0003,44.5329,43.8652,30.3107,29.0901,30.7379,52.1553,52.0012,56.3326,48.5793,45.2218,46.0174,70.3687,68.3388,73.6022,67.1433,65.2705,66.4692,55.062,48.5395
"CG6048",0,0.0435991,0,0,0,0,0.0931165,0.066853,0.0639147,0.388805,0.403226,0.215962,1.2355,0.753898,0.961374,0,0.0448474,0.171397,0.0689495,0.0617291
"CG6051",24.5755,24.8196,24.5975,20.1088,20.0447,20.5989,40.4971,41.651,40.2064,46.9191,47.1551,48.1398,37.3146,39.4512,39.1144,48.4318,50.4418,49.1413,55.2535,50.4187
"CG6053",18.195,17.5586,16.6037,14.1199,14.932,14.614,20.9399,20.311,21.2362,19.1329,19.7139,19.2514,19.0882,20.2347,18.8709,17.7405,18.7998,18.2701,16.9643,13.5142
"CG6055",13.8339,12.7465,11.6559,7.7336,7.02913,7.79563,11.8615,13.1954,12.0883,6.80805,7.49154,7.98523,20.522,23.1134,24.8425,25.2244,22.1824,25.2074,8.46761,7.22522
"CG6059",0.104063,0.167641,0.107006,0.138436,0.0625251,0.095751,0.624784,0.651916,0.553714,0.334214,0.360827,0.254061,4.27749,3.40115,3.85547,0.819233,0.782635,0.759576,0.130544,0.139557
"CG6066",2.31862,2.16632,2.30249,2.11827,1.79429,2.42468,2.65512,2.90931,3.07313,2.68309,2.62062,3.20848,2.4798,2.61264,2.23562,2.08099,2.51242,2.04702,3.92382,3.91489
"CG6067",47.9228,45.8968,47.8122,48.5409,52.8751,50.8318,57.8739,62.9174,61.4135,86.9462,88.1051,87.7053,59.0505,58.3407,57.8286,104.767,109.534,105.828,33.1467,51.9026
"CG6071",0.119296,0.0642341,0.169215,0.223152,0.142733,0.109109,0.246883,0.14554,0.12743,0.123785,0.0968051,0.0621686,0.113447,0.304015,0.232781,0,0.0887302,0.0846605,0.657346,0.748907
"CG6073",4.62072,4.02743,4.01295,4.70135,3.98428,3.77669,4.9846,5.60661,5.75729,5.77948,5.19633,5.46119,2.15335,1.77215,1.63854,1.6163,1.47852,1.65301,6.47587,6.42601
"CG6074",2.84125,3.04743,2.86423,3.5376,3.12448,2.21997,4.4102,5.2788,4.22434,4.97804,4.94143,3.48088,1.58252,1.3922,1.61391,2.46,2.52124,1.80863,16.2791,13.0598
"CG6083",2.98521,2.23014,2.18526,2.72577,1.34623,1.57885,3.65478,3.53815,3.93909,2.54411,3.00165,2.65522,8.72947,9.19836,11.1811,4.38073,4.20872,5.06183,2.54905,2.36449
"CG6091",11.7892,12.1628,13.6582,10.8607,10.4271,10.5484,15.121,14.6272,16.2668,13.2625,13.7148,13.798,23.5735,22.012,22.1534,18.5409,16.767,17.7462,21.2576,20.224
"CG6094",16.0466,16.2998,15.9778,18.2461,18.9077,15.4695,19.6172,21.3343,20.7373,20.2933,19.1162,17.5782,20.3009,23.5534,23.6014,21.0734,24.4174,22.9037,18.3444,17.0421
"CG6106",0.352593,0.406333,0.250202,0.56735,0.662712,0.537187,1.20141,0.701347,1.12669,0.993578,0.998138,1.22453,0.2664,0.567048,0.426533,0.373375,0.369605,0.543774,0.41812,0.404368
