gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
Surf6,FBgn0038746,FBgn0181736,FBgn0186761,4.03513,3.64585,4.53175,3.24523,3.69614,3.34473,4.13925,3.23828,4.62824,3.65865,4.52145,4.7256,4.35288,4.47973,6.89521,6.84866,7.09436,7.02584,7.31539,6.58212
Swim,FBgn0034709,FBgn0170574,FBgn0196453,82.6107,97.1993,94.0016,97.436,94.6278,97.4342,100.383,103.172,134.142,136.861,137.879,178.244,183.921,181.433,107.83,105.318,113.18,146.801,151.796,148.71
Syb,FBgn0003660,FBgn0175423,FBgn0197274,134.208,137.983,87.0879,88.8151,86.5366,88.9517,88.8484,91.2248,124.829,121.147,119.752,135.366,134.834,129.981,128.316,127.084,126.459,155.681,146.218,156.627
Sym,FBgn0037371,FBgn0165540,FBgn0191079,4.21967,4.33524,1.50714,1.47001,1.56574,1.5103,1.69685,1.65175,1.91001,1.87098,1.76201,1.79506,1.79468,1.88154,1.71221,1.98042,1.64944,1.65291,1.64256,1.92742
Syn1,FBgn0037130,FBgn0176981,FBgn0183825,7.96535,7.74073,9.70749,10.34,10.9088,8.39474,8.75154,8.95375,11.3957,12.292,11.8759,12.2763,12.4054,12.3467,9.74172,10.4813,9.04286,10.7568,10.1767,9.47772
Syn2,FBgn0034135,FBgn0176586,FBgn0182957,44.0209,41.6684,19.6902,19.954,19.7939,15.9139,15.6928,16.6676,18.8316,19.6339,21.3325,19.589,19.4751,18.934,25.6676,26.0829,24.7169,25.6112,26.4426,27.7197
Synd,FBgn0053094,FBgn0178006,FBgn0190879,46.9488,43.6831,33.9884,32.8715,36.6368,29.8011,30.497,30.4974,45.1953,46.1419,46.5256,47.1388,48.4861,47.2907,51.918,52.3027,52.7328,52.9619,50.1654,50.8992
Syp,FBgn0038826,FBgn0178003,FBgn0190876,5.32468,6.30192,3.77308,3.93425,3.65576,3.69347,3.65122,3.9903,3.34818,2.95213,3.20862,2.27796,2.18605,2.2094,19.2537,20.4605,20.5594,2.99294,3.34131,3.26917
Syt1,FBgn0004242,FBgn0173104,FBgn0194196,101.92,100.523,18.9343,16.5083,18.2433,12.0291,13.3503,13.6375,15.9517,16.4786,15.6248,14.2283,14.988,14.3544,14.4782,14.0739,13.7764,14.3291,14.2597,14.9699
Syt12,FBgn0261085,FBgn0166567,FBgn0188688,1.61181,1.64463,0.155836,0.222924,0.142418,0.107032,0.0165463,0.142581,0.146866,0.258673,0.192437,0.40288,0.266164,0.421291,0.242822,0.388853,0.297802,0.239619,0.237939,0.104888
Syt14,FBgn0261086,FBgn0165657,FBgn0191178,5.48183,5.02399,2.69634,2.75339,2.72581,1.91105,1.6073,1.63912,2.98062,2.68883,2.83968,2.44784,2.5646,2.37657,4.35725,3.74519,3.83134,4.11632,4.44164,4.07397
Syt4,FBgn0028400,FBgn0165892,FBgn0191409,102.402,100.195,38.5064,38.1187,37.7395,29.2852,31.0272,29.7785,50.2421,49.5864,50.7378,49.3447,50.2899,49.5143,50.4042,49.6423,49.8736,52.8155,55.1495,53.7209
Syt7,FBgn0039900,FBgn0181639,FBgn0195727,52.0406,53.3685,33.1021,34.1215,33.6942,28.0538,27.6114,29.821,49.1839,48.0879,49.6937,47.9477,45.3437,43.4889,34.9421,34.3395,35.4537,35.3419,33.9938,31.1738
Sytalpha,FBgn0261089,FBgn0172160,FBgn0183772,35.962,31.361,10.2871,10.9181,10.0581,8.34231,8.04252,7.95272,14.435,14.8963,15.5062,14.4799,13.9954,14.2788,5.18177,5.11798,5.81278,4.0687,5.1568,4.2711
Syx13,FBgn0036341,FBgn0180253,FBgn0186110,27.9022,26.8409,32.498,32.1954,32.564,29.5442,30.4053,28.075,41.3406,43.4464,41.2546,43.3545,46.3647,44.4354,42.4167,51.0995,46.8372,52.558,51.9744,52.767
Syx16,FBgn0031106,FBgn0177546,FBgn0187204,15.5249,15.5054,14.7135,16.2597,15.9757,15.3532,15.0217,14.1858,19.9245,21.0365,21.5657,23.4525,21.7521,23.7852,25.0283,23.831,25.4111,28.0451,27.2735,27.8471
Syx17,FBgn0035540,FBgn0169578,FBgn0185539,32.3982,31.5423,20.0882,20.4498,20.2936,18.5321,19.1259,16.2947,25.4205,24.5359,26.0026,25.8592,25.8668,24.4569,47.4705,44.7253,45.5725,47.5999,47.3807,45.6479
Syx18,FBgn0039212,FBgn0178342,FBgn0189816,20.3111,18.3293,14.3059,16.0814,16.3289,13.8076,14.3409,15.1891,17.8194,17.3712,18.584,16.9371,17.475,17.7562,15.6435,15.5886,15.8631,16.1883,15.5751,15.9454
Syx4,FBgn0024980,FBgn0173759,FBgn0063990,8.61736,11.3331,8.28504,6.87208,6.50351,11.0582,12.443,12.0574,10.6781,9.89714,11.4089,18.1824,17.4676,17.9933,11.8012,10.963,10.936,17.9988,17.6504,17.471
Syx5,FBgn0011708,FBgn0173572,FBgn0195409,62.3559,55.0149,52.9339,54.3113,52.5054,48.8381,48.2228,49.9348,79.5266,79.7441,79.953,83.2546,82.5418,82.8989,89.2882,89.5429,91.0999,95.8659,99.4943,98.2274
